stratum,budget,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
synthetic,0.025,0.6,plugin,8,24,0.10406879673778609,0.028913525199537944,0.12221603315938795,-0.09760444473966336,,,,,
synthetic,0.025,0.6,shared_mle,8,24,0.03751654570035012,0.005696370163532306,0.05131856027821935,-0.0018352644209147888,0,0.0,,,
synthetic,0.025,0.6,extratrees,8,24,0.03784268305129092,0.007253137745153405,0.025869748991084858,-0.01845853346284598,,,1.0,,
synthetic,0.025,0.6,qwen_thinking,8,71,0.1734714369910052,0.026019876031582262,0.13701220114944082,0.04331002895549514,,,,72,0.9861111111111112
synthetic,0.025,0.6,qwen_nonthinking,8,72,0.2586745440361195,0.028662187514379,0.1918877138538684,-0.07887209257854831,,,,72,1.0
synthetic,0.025,0.6,mechanism_aware_reference,8,24,0.09993710864848832,0.027693454539262412,0.08014659919719341,0.0769298609050027,,,,,
synthetic,0.05,0.4,plugin,8,24,0.18610062265106483,0.05252400964309891,0.1963172872183408,-0.18610062265106483,,,,,
synthetic,0.05,0.4,shared_mle,8,24,0.08359800519642177,0.026235392075927223,0.07946386614000742,0.048348590417127794,0,0.0,,,
synthetic,0.05,0.4,extratrees,8,24,0.053827179198803074,0.017330290383645246,0.030814085265577284,-0.040180605420193284,,,1.0,,
synthetic,0.05,0.4,mechanism_aware_reference,8,24,0.10426230402603104,0.02847077493642049,0.09515479861554069,0.08919751334666856,,,,,
synthetic,0.05,0.6,plugin,8,24,0.10221188305181358,0.02469930959306623,0.1273871970329047,-0.09755193884017463,,,,,
synthetic,0.05,0.6,shared_mle,8,24,0.03804452563398361,0.005593574306277887,0.03301779051102004,0.016757012944615863,0,0.0,,,
synthetic,0.05,0.6,extratrees,8,24,0.030815856573401048,0.006400647416831286,0.021580427520884075,-0.007278629097308988,,,1.0,,
synthetic,0.05,0.6,qwen_thinking,8,72,0.1383852376320455,0.02189078525280069,0.127588825875044,0.005406413388204795,,,,72,1.0
synthetic,0.05,0.6,qwen_nonthinking,8,72,0.24111094463545366,0.032494092891811176,0.1809514490915755,-0.10696792591188165,,,,72,1.0
synthetic,0.05,0.6,mechanism_aware_reference,8,24,0.09479897821114688,0.026501652599521322,0.07030530787777606,0.08597344142446806,,,,,
synthetic,0.1,0.4,plugin,8,24,0.18232332938533025,0.050468090267813286,0.19537296390190717,-0.18232332938533025,,,,,
synthetic,0.1,0.4,shared_mle,8,24,0.07724782855143802,0.023214771937457235,0.07559094964705396,0.055049049810445436,0,0.0,,,
synthetic,0.1,0.4,extratrees,8,24,0.041590780111332736,0.01598895857689218,0.021339546934598934,-0.02808827106177275,,,1.0,,
synthetic,0.1,0.4,mechanism_aware_reference,8,24,0.10402355476569838,0.030019613599477354,0.09629033597376313,0.09456296041231055,,,,,
synthetic,0.1,0.6,plugin,8,24,0.09476001628557323,0.023864697244824505,0.12143025378551377,-0.09018390838576593,,,,,
synthetic,0.1,0.6,shared_mle,8,24,0.037488845224693826,0.007025695484788764,0.044176025813714645,0.02172518496137213,0,0.0,,,
synthetic,0.1,0.6,extratrees,8,24,0.02549400802514253,0.007966241557022908,0.01778568386763114,-0.004398802566068767,,,1.0,,
synthetic,0.1,0.6,qwen_thinking,8,72,0.15716095759915125,0.021035405271859473,0.1342679731521832,0.020607831465363862,,,,72,1.0
synthetic,0.1,0.6,qwen_nonthinking,8,72,0.25752723095116026,0.02518545222031642,0.18731486959072302,-0.07813042591188166,,,,72,1.0
synthetic,0.1,0.6,mechanism_aware_reference,8,24,0.0971536098048973,0.028877835628831148,0.07681859461942558,0.08485062585405537,,,,,
synthetic,0.2,0.4,plugin,8,24,0.18464213343510613,0.05197533200633484,0.19595266491435115,-0.18464213343510613,,,,,
synthetic,0.2,0.4,shared_mle,8,24,0.07985060226416187,0.024367251501848607,0.0771917046091635,0.06035875952775108,0,0.0,,,
synthetic,0.2,0.4,extratrees,8,24,0.03656143531680979,0.016688581818649517,0.017436958501732016,-0.02143941780744213,,,1.0,,
synthetic,0.2,0.4,mechanism_aware_reference,8,24,0.10277406673615395,0.02949455023213698,0.09488347062152751,0.0918748826571063,,,,,
synthetic,0.2,0.6,plugin,8,24,0.09108716952490184,0.025067813047357723,0.12108954782969697,-0.09014553722218693,,,,,
synthetic,0.2,0.6,shared_mle,8,24,0.030821111528411372,0.005563266833666067,0.03840017677555061,0.02197202938298079,3,0.125,,,
synthetic,0.2,0.6,extratrees,8,24,0.017715198929710192,0.005078848517587145,0.01182935261002483,-0.0007753015664691094,,,1.0,,
