stratum,arm,config_id,mock,source,metric,value,MCSE,valid_fraction,limit_fraction,technical_failure_fraction,replacement_fraction,empty_fraction
real,B,qwen_thinking,False,snap_email_eu,ProfileAE,0.08975170484727757,0.01567045317949792,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_mathoverflow,ProfileAE,0.047118697674560873,0.03451732231764718,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,sp_highschool2013,ProfileAE,0.060072947175432566,0.003572169042023007,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,sp_hospital,ProfileAE,0.0920002214985265,0.039307078249258574,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,copenhagen_bluetooth,delta_AE2,0.024846597591812368,0.02537649438569471,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_collegemsg,delta_AE2,0.1334993039798433,0.04866085821921581,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_email_eu,delta_AE2,0.07666226563897856,0.024438903365239992,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_mathoverflow,delta_AE2,-0.02896094930535642,0.041951860785716145,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,sp_highschool2013,delta_AE2,0.09157835485580099,0.007735039542636961,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,sp_hospital,delta_AE2,0.09792506662431973,0.02864849907020281,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE,0.006417025857956003,0.02123672665796629,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_collegemsg,delta_ProfileAE,0.04052425517514928,0.014588305365088797,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,snap_email_eu,delta_ProfileAE,0.009661281670016241,0.01568018474030717,1.0,0.0,0.0,0.0,0.0
